38_5781_20170915162523 播放朴树的歌的歌曲
38_5724_20170915091644 来一个黄大炜的歌曲
38_5716_20170914202341 播放雪莉的歌曲
38_5781_20170915163106 播放范玮琪的歌曲
38_5858_20170917195201 来首齐秦的歌
38_5781_20170915164228 请来一首张宇的歌
38_5724_20170914204453 播放许佳慧的歌曲
38_5858_20170917194904 请给我来一个张清芳的歌
38_5724_20170915091611 请给我来一个张宇最新的歌
38_5887_20170917191438 播放沈凌的歌
38_5858_20170917193832 播放杜海涛的歌
38_5887_20170917193116 来一首桑兰的歌
38_5858_20170917201257 来一首方大同唱的歌
38_5716_20170914202628 播放朴宝英的歌曲
38_5781_20170915165529 来个张信哲的歌
38_5724_20170914195749 播放牛奶咖啡的歌
38_5781_20170915160839 播放阿兰的歌
38_5781_20170915165210 请给我来一个张学友的歌曲
38_5858_20170917193647 播放张晓晨的歌
38_5716_20170914202719 来首邵兵的歌
38_5887_20170917192557 播放刘锡明的歌
38_5724_20170915092338 请来一首朴树演唱的歌
38_5724_20170915091438 给我来首莫文蔚的歌曲
38_5724_20170915092408 给我来首梁静茹演唱的歌
38_5781_20170915164504 请来首姜育恒最新的歌
38_5887_20170917200202 播放鹏泊的歌曲
38_5724_20170914200435 播放夏侯钰涵的歌
38_5781_20170915163555 来一首陈道明的歌
38_5724_20170915091103 给我来个吕方唱的歌
38_5887_20170917191907 播放雪村的歌
38_5858_20170917213407 来一首王力宏最新的歌
38_5858_20170917185602 播放大乔小乔的歌曲
38_5724_20170914195530 播放庞龙的歌
38_5858_20170917200959 请来一首张清芳演唱的歌
38_5887_20170917200506 来一个张学友最新的歌
38_5724_20170915092321 请给我来个辛晓琪唱的歌
38_5781_20170915161936 播放谢天笑的歌
38_5724_20170915085837 播放许茹芸的歌
38_5858_20170917184846 播放张震岳的歌
38_5724_20170915091208 请播放一个李宗盛唱的歌
38_5858_20170917195247 请给我来首姜育恒最新的歌
38_5887_20170917201425 来一首信乐团最新的歌
38_5858_20170917192056 播放谢安琪的歌曲
38_5724_20170914195643 播放佘诗曼的歌曲
38_5858_20170917191944 播放本兮的歌曲
38_5781_20170915165448 请来首张信哲的歌曲
38_5781_20170915165022 请给我来一首张学友唱的歌
38_5887_20170917195227 播放薛之谦的歌曲
38_5781_20170915165314 请给我来首许茹芸的歌
38_5781_20170915161114 播放黄立行的歌
38_5724_20170915092328 来一个张宇最新的歌
38_5858_20170917195457 给我来一首许茹芸演唱的歌
38_5781_20170915165352 请给我来一首张信哲的歌
38_5887_20170917193306 播放毛泽少的歌
38_5781_20170915165005 给我来个林俊杰最新的歌
38_5858_20170917213437 请给我来一首朴树唱的歌
38_5716_20170914202554 播放刘明湘的歌曲
38_5724_20170915085906 播放邵夷贝的歌
38_5781_20170915162416 播放冯德伦的歌
38_5781_20170915160235 播放刘珂仪的歌
38_5724_20170915091508 来首张清芳唱的歌
38_5724_20170914195305 播放文雨非的歌曲
38_5716_20170914202620 播放玄奘的歌
38_5858_20170917194349 播放林俊杰的歌
38_5887_20170917194002 播放付辛博的歌
38_5858_20170917195226 来首张信哲最新的歌
38_5887_20170917200111 播放汪东城的歌曲
38_5724_20170914200442 播放毕书尽的歌曲
38_5887_20170917200416 播放陈一发儿的歌
38_5858_20170917190652 来一首毛阿敏的歌
38_5887_20170917200539 给我来一首陈奕迅最新的歌
38_5781_20170915165614 请来一首李宗盛演唱的歌
38_5781_20170915164309 请来首郑智化演唱的歌
38_5781_20170915163229 播放颖儿的歌
38_5781_20170915164519 请给我来首陈奕迅最新的歌
38_5858_20170917195610 来一首姜育恒演唱的歌
38_5887_20170917201400 给我来一首林俊杰最新的歌
38_5858_20170917191624 来一首蒋勤勤的歌
38_5781_20170915164614 请给我来一个姜育恒唱的歌
38_5724_20170915091043 请来个朴树的歌曲
38_5781_20170915161539 播放西野力的歌曲
38_5724_20170915091254 请来首吕方的歌
38_5724_20170915085434 播放凌云的歌
38_5858_20170917193007 来一首叶倩彤的歌
38_5781_20170915164534 请给我来首张清芳的歌
38_5858_20170917201229 来一首吕方唱的歌
38_5887_20170917201037 给我来一个方大同的歌
38_5716_20170914202702 播放王芳的歌
38_5858_20170917194707 请来首张清芳唱的歌
38_5724_20170914205328 播放张宇的歌的歌曲
38_5858_20170917190743 来一首林永健的歌
38_5781_20170915161150 播放金虎的歌
38_5858_20170917185108 播放柯有伦的歌
38_5781_20170915164339 来一首林忆莲唱的歌
38_5724_20170915091017 给我来首辛晓琪唱的歌
38_5781_20170915164541 来个陈奕迅的歌
38_5724_20170915091009 请来首无印良品的歌
38_5858_20170917195004 来一首黄大炜唱的歌
38_5724_20170914204646 播放大宝法王的歌曲
38_5887_20170917192027 播放迪玛希的歌曲
38_5887_20170917192745 播放朱止瑶的歌曲
38_5724_20170915091515 请来首任贤齐最新的歌
38_5858_20170917191635 来一首陈敏之的歌
38_5858_20170917192650 来一首梁博的歌
38_5887_20170917200717 请来个陈奕迅演唱的歌
38_5887_20170917200647 来个姜育恒的歌曲
38_5887_20170917193034 播放张博的歌
